"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
"bam_fd","classic_cluster",1000,0.06,0.94,1.00028081524682,0.0373184258376366,0.0378842347558036,1.01516165018934,5.07092302716629e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_fd","penalty_cluster",1000,0.063,0.937,1.00028081524682,0.0373184258376366,0.0371748504558215,0.996152694584713,5.07092302716629e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_fd","penalty_cluster_delta",1000,0.063,0.937,1.00028081524682,0.0373184258376366,0.0372431770342938,0.997983601889583,5.07092302716629e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_fd","mgcv_sandwich_freq",1000,0.081,0.919,1.00028081524682,0.0373184258376366,0.0338756472834846,0.907745879498489,5.07092302716629e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_fd","mgcv_sandwich_default",1000,0.081,0.919,1.00028081524682,0.0373184258376366,0.0339503988503176,0.909748953453383,5.07092302716629e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_fe","classic_cluster",1000,0.051,0.949,0.999937656119666,0.038019093994611,0.0391237781846378,1.02905603668997,4.72427461117225e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_fe","penalty_cluster",1000,0.054,0.946,0.999937656119666,0.038019093994611,0.0385155959868228,1.01305927995765,4.72427461117225e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_fe","penalty_cluster_delta",1000,0.054,0.946,0.999937656119666,0.038019093994611,0.0385770232228121,1.01467497432422,4.72427461117225e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_fe","mgcv_sandwich_freq",1000,0.054,0.946,0.999937656119666,0.038019093994611,0.0380452374763303,1.0006876408397,4.72427461117225e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_fe","mgcv_sandwich_default",1000,0.054,0.946,0.999937656119666,0.038019093994611,0.0381073036024532,1.00232013966074,4.72427461117225e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_re","classic_cluster",1000,0.046,0.954,1.00370797515152,0.0378108127973546,0.039138286444749,1.03510830762906,1.75702272568547e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_re","penalty_cluster",1000,0.051,0.949,1.00370797515152,0.0378108127973546,0.0381364560862729,1.00861243821082,1.75702272568547e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_re","penalty_cluster_delta",1000,0.051,0.949,1.00370797515152,0.0378108127973546,0.0383659654982425,1.01468237945223,1.75702272568547e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_re","mgcv_sandwich_freq",1000,0.056,0.944,1.00370797515152,0.0378108127973546,0.0377137986539104,0.997434222216692,1.75702272568547e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
"bam_re","mgcv_sandwich_default",1000,0.055,0.945,1.00370797515152,0.0378108127973546,0.0379453868711644,1.00355914257996,1.75702272568547e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1,1
